Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C14, C15, C17, C18, C24, C30, C31, C32, C33, C34, C37, C38, C42, C6, C78",0603,18,100nF,C14663
"C11, C3",0603,2,4.7nF,C53987
"C12, C35",0603,2,1nF,C1588
"C16, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59",0402,16,100nF,C1525
"C19, C20, C29, C40, C79, C80, C82",0603,7,10nF,C57112
C2,CP_Elec_8x10.5,1,100UF 50V,C134515
"C21, C22",0603,2,18pF,C1647
"C23, C27, C36",0603,3,1uF,C15849
"C25, C26, C41",0603,3,2.2uF,C23630
"C28, C44",0603,2,6.8pF,C1679
C39,0805,1,22uF,C59461
"C4, C5",0603,2,470nF,C1623
C43,0805,1,22uF 25V,C45783
"C7, C8, C9",0603,3,10uF,C19702
"D1, D42",SOT-23,2,BAV70,C82479
"D13, D16, D38, D39, D40",SOT-23-6,5,SRV05-4,C85364
"D14, D22",0805,2,LED-GREEN,C2297
"D15, D20, D3, D36, D37, D4, D5, D6",D_SMA,8,SS54,C22452
"D17, D7",D_SOD-123,2,B5819W,C8598
"D19, D28, D29, D31, D33, D35",0603,6,LED-RED,C2286
D2,SOT-23,1,PESD1CAN-UX,C152727
D21,0805,1,LED-RED,C84256
D23,0805,1,LED-BLUE,C2293
D27,0805,1,LED-YELLOW,C2296
"D30, D32, D34, D43",D_SOD-323,4,1N4148WS,C2128
D41,D_SMC,1,SM15T33C,C133707
FB1,0603,1,FILTER,C1034
"FID1, FID2, FID3, FID4, FID5, FID6",Fiducial_0.5mm_Mask1mm,6,Fiducial,
G1,Off_Road_Disclaimer,1,Disclaimer,
J1,CUI_UJ20-C-V-C-2-SMT-TR,1,UJ20-C-V-C-2-SMT-TR,
"J12, J13, J15, J17, J3, J5",Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork,6,Conn_01x01,
J19,JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical,1,Conn_01x06,
J2,PinSocket_2x05_P2.54mm_Vertical_SMD,1,Conn_02x05_Odd_Even,
J4,PinHeader_2x05_P2.54mm_Vertical_SMD,1,Conn_02x05_Counter_Clockwise,
J6,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det,C585350
J7,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,1,TC2030,
JP2,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,High side voltage 5V 12V,
LOGO1,OSHW-Logo2_7.3x6mm_SilkScreen,1,DNP,
LOGO3,MRE_QR_code,1,LOGO,
"NT1, NT2",Net-Tie_2_8.5mil,2,Net-Tie_2,
NT3,NetTie-2_SMD_Pad0.5mm,1,Analog Ground Net Tie,
Q1,TO-252-2,1,IPD30N06S2L-23,C3010
"R1, R12, R13, R141, R16, R38, R39, R4, R43, R44, R45, R46, R6, R60, R61, R62, R63, R68, R69, R70, R71, R76, R77, R78, R79, R89",0603,26,10K,C25804
R10,1206,1,1k,C4410
"R11, R40, R7",0402,3,DNP,
"R120, R121, R122, R123, R124, R125",1206,6,100,C17901
"R131, R24, R31, R34, R37, R41, R52, R54, R56, R58",0402,10,470K,C25790
R139,0603,1,39k,C23153
"R14, R20, R23, R25, R27",0603,5,2.7k,C13167
"R15, R17, R18, R19",0603,4,DNP,
R2,0603,1,0R DNP,
"R21, R30, R33, R8, R80, R81, R84",0603,7,0R,C21189
R22,0805,1,120,C17437
"R26, R32, R35, R5, R57, R59, R64, R65, R66, R67, R72, R73, R74, R75",0603,14,6.8K,C23212
"R28, R48",0603,2,2.2k,C4190
"R29, R36, R49, R50, R51",0603,5,1k,C21190
R3,0805,1,10K,C17414
"R42, R82, R83",0603,3,4.7K,C23162
R47,0603,1,100K,C25803
"R53, R55",0603,2,6.8K,
R85,0603,1,0R,
R86,0805,1,0R,
"R87, R88",0603,2,5.1k,C21190
R9,0603,1,4.7K,DNP
RN1,R_Array_Convex_4x0603,1,1k,C20197
"RN13, RN2, RN3, RN4, RN5, RN6",R_Array_Convex_4x0603,6,10k,C29718
"SW1, SW2",SW_SPST_CK_RS282G05A3,2,SW_Push,C398054
"SW3, SW4",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
"TP0, TP3",TestPoint_Pad_D2.0mm,2,GND,
"TP1, TP2, TP4",TestPoint_Pad_D2.0mm,3,TP,
"TP12, TP5",TestPoint_Pad_D2.0mm,2,5V,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32F427VGT6,C117815
"U10, U9",SO-8_3.9x4.9mm_P1.27mm,2,VNLD5090,C377942
U2,LQFP-100_14x14mm_P0.5mm_THERMAL,1,TLE8888QK,
U3,Molex_48_MRE,1,molex_48pin_MRE,
"U31, U32, U33",SOIC-8_3.9x4.9mm_P1.27mm,3,MIC4427,C144205
"U35, U36, U46, U8",TSSOP-14_4.4x5mm_P0.65mm,4,MCP6004,C248577
U4,Infineon_PG-DSO-12-11,1,TLE9201SG,C112633
U5,SOT-223-3_TabPin2,1,LM1117-3.3,C6186
U7,SOT-23,1,XC6206 3.3V,C5446
X1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz 20pF,C115962
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32768 Hz,C32346
